MULTIPLIER,NAME,AI Expansion Server,AI Limiter,Alclad Aluminum Sheet,Alumina Solution,Aluminum Ingot,Aluminum Scrap,Bauxite,Cable,Caterium Ingot,Caterium Ore,Circuit Board,Coal,Computer,Copper Ingot,Copper Ore,Copper Sheet,Crude Oil,Crystal Oscillator,Dark Matter Crystal,Dark Matter Residue,Diamonds,Electromagnetic Control Rod,Empty Canister,Excited Photonic Matter,Ficsite Ingot,Ficsite Trigon,Heavy Oil Residue,High-Speed Connector,Iron Ingot,Iron Ore,Iron Plate,Iron Rod,Limestone,Magnetic Field Generator,Modular Frame,Neural-Quantum Processor,Packaged Oil,Plastic,Quartz Crystal,Quickwire,Raw Quartz,Reanimated SAM,Reinforced Iron Plate,SAM,Screws,Silica,Stator,Steel Beam,Steel Ingot,Steel Pipe,Sulfur,Supercomputer,Superposition Oscillator,Time Crystal,Versatile Framework,Water,Wire,ENERGY
1,Quantum Encoder,4,,,,,,,,,,,,,,,,,,,100,,,,-100,,,,,,,,,,-4,,-4,,,,,,,,,,,,,,,,,-4,,,,,2000
1,Assembler,,,,,,,,,,,,,,,,,,,,,,-1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,-2.5,,,15
1,Converter,,,,,,,,,,,,,,,,,,,,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
1,Assembler,,-4,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,-6,,,,,,,,,,,15
1,Quantum Encoder,,,,,,,,,,,,,,,,,,,,75,,,,-75,,-45,,,,,,,,,,3,,,,,,,,,,,,,,,,-3,,-15,,,,2000
1,Assembler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,-15,,,,,,,-40,15
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,20,,,,,,,,4
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,-10,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Converter,,,,,-120,,,,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,-60,,,,,,,,,,,,,,,,5
1,Manufacturer,,-3.75,,,,,,,,,,,-7.5,,,,,,,,,,,,,,,-5.63,,,,,,,,,,-52.5,,,,,,,,,,,,,,1.88,,,,,,55
1,Refinery,,,,,,,,,,,,,,,,,-30,,,,,,,,,,10,,,,,,,,,,,20,,,,,,,,,,,,,,,,,,,,30
1,Packager,,,,,,,,,,,,,,,,,60,,,,,,60,,,,,,,,,,,,,,-60,,,,,,,,,,,,,,,,,,,,,10
1,Foundry,,,,,60,-90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-75,,,,,,,,,,,,16
1,Manufacturer,,,,,,,,-20,,,-10,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,-40,,,,,,,,,,,,,,,,,,,,55
1,Constructor,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-60,4
1,Packager,,,,,,,,,,,,,,,,,-30,,,,,,-30,,,,,,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,10
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,-120,,,,,,,,,,,,,,4
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-22.5,,,,,37.5,,,,,,,,,,,,4
1,Foundry,,,,,,,,,,,,-45,,,,,,,,,,,,,,,,,,-45,,,,,,,,,,,,,,,,,,,45,,,,,,,,,16
1,Manufacturer,,,,,,,,-37.5,,,-3.75,,,,,,,,,,,,,,,,,3.75,,,,,,,,,,,,-210,,,,,,,,,,,,,,,,,,55
1,Refinery,,,,-240,,360,,,,,,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,30
1,Assembler,,5,,,,,,,,,,,,,,-25,,,,,,,,,,,,,,,,,,,,,,,,-100,,,,,,,,,,,,,,,,,,15
1,Assembler,,,,,,,,,,,7.5,,,,,-15,,,,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,,,,,,,,,15
1,Refinery,,,,120,,,-120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,-180,,30
1,Converter,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,-180,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,5
1,Converter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,-240,,,,,,,,,-10,,,,,,,,,,,,,,,,5
1,Constructor,,,,,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,,,,,,,,,,,,,4
1,Converter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,,,,,,,,,-10,,,,,,,,,-20,,,,,,,5
1,Converter,,,,,,,-100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,-10,,,,,,,,,,,,,,,,5
1,Quantum Encoder,,,-45,,,,,,,,,,,,,,,-5,-30,125,,,,-125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,2000
1,Constructor,,,,,,,,,,,,,,-20,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Manufacturer,,,,,,,,-14,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,-18,,,,-2.5,,,,,,,,,,,,,,,55
1,Smelter,,,,,,,,,,,,,,30,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Converter,,,,,,,,,,,,,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,-100,-10,,,,,,,,,,,,,,,,5
1,Smelter,,,,,,,,,15,-45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Converter,,,,,,,120,,,-150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,5
1,Assembler,,,30,,-30,,,,,,,,,-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15
1,Converter,,,,,,,,,,120,,,,,-150,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,,,,5
1,Particle Accelerator,,,,,,,,,,,,,,,,,,,30,-150,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500
1,Particle Accelerator,,,,,,,,,,,,-600,,,,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,-37.5,,,,,,,,,,,,,,,,,4
1,Assembler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,,,,,,,,,,,,5,,-60,,,,,,,,,,,,,15
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,,,,,40,,,,,,,,,,,,,4
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-15,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-30,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Smelter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1,Converter,,,,,,,,,,,,-200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10,,,,,,,,,120,,,,,,,5
1,Converter,,,,,,,,,,,,,,,,,,,,,-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,5
1,Assembler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.5,,,,,,,,,,,,,-30,,,,,,,5,,,15
1,Assembler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-12,,,2,,,,,,,,-3,,,,,,,,,,,,,,,15
1,Constructor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,-60,,,,,,,,,4
1,Constructor,,,,,,,,,,,,,,-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,4
,SUM,4,-2.75,-15,-120,-90,270,-100,-41.5,3,-75,-6.25,-845,-5,-15,-60,-30,0,-4,0,150,-12,3,30,-100,20,-15,10,-1.88,-15,-135,-10,-7,-120,-3,-0.5,-1,-30,-102.5,4.5,-250,-40,-110,-0.5,-120,-20,12.5,-1,-15,-45,5,100,-1.13,1,-9,2.5,-60,-70,9616
